Νομός_Δήμος_Κοινότητα,Νέες_οικοδομές,Προσθήκες,Επισκευές,Αναπαλαιώσεις,Κατεδαφίσεις
Βαρετάδας                     ,1,0,0,0,0 
Κεχρινιάς                     ,3,1,0,0,0 
Λουτρού                       ,6,9,0,0,0 
Σαρδινίων                     ,5,0,0,0,0 
Σπάρτου                       ,5,0,0,0,0 
Στάνου                        ,1,0,0,0,0 
Βόνιτσας (Βονίτσης)           ,24,10,2,1,1 
Αγίου Νικολάου Βονίτσης και Ξηρομέρου   ,1,1,0,0,0 

Δρυμού                        ,1,1,0,0,0 
Θυρίου (τΘυρρείου)           ,1,2,0,0,0 
Μοναστηρακίου                 ,2,1,0,0,0 
Παλιαμπέλων                   ,5,2,0,0,0 
Αντιρρίου                     ,21,6,1,0,0 
Μακυνείας                     ,1,0,0,0,1 
Μαλυκρείου                    ,2,0,0,0,0 
’νω Χώρας                     ,7,1,0,0,1 
Ελατούς                       ,1,1,0,0,0 
Κάτω Χώρας                    ,0,0,0,0,0 
Πόδου                         ,1,0,0,0,0 
Παππαδατών                    ,6,2,0,0,0 
Ματαράγκας                    ,7,2,0,0,0 
Αστακού                       ,17,9,3,0,2 
Αγραμπέλων                    ,1,0,0,0,0 

Μαχαιρά                       ,0,1,1,0,0 
Παλαιομανίνας                 ,1,1,0,0,0 
Προδρόμου                     ,0,0,0,0,0 
Χρυσοβίτσης                   ,1,0,0,0,0 
Θέρμου                        ,16,6,0,0,0 
Αγίας Σοφίας                  ,1,0,0,0,0 
Αναλήψεως                     ,1,0,0,0,0 
Αργυρού Πηγαδίου              ,1,0,0,0,0 
Δρυμώνος                      ,2,0,0,0,0 
Καλουδίου                     ,0,1,0,0,0 
Λευκού                        ,1,0,1,0,0 
Μυρτέας                       ,0,0,0,0,0 
Πετροχωρίου                   ,2,0,0,0,0 
Σιταραλώνων                   ,0,0,0,0,0 
Χαλικίου Αμβρακίας            ,0,0,0,0,0 
Καινουργίου                   ,17,10,0,0,0 
Νέας Αβόρανης                 ,2,0,0,0,0 
Παναιτωλίου                   ,4,4,0,0,0 
Χαλκιοπούλων                  ,4,2,0,0,0 
Αγριδίου                      ,1,0,0,0,0 
Αλευράδας                     ,0,0,0,0,0 
Αμοργιανών                    ,1,0,0,0,0 
Βρουβιανών                    ,2,0,0,0,0 
Γιαννοπούλων                  ,0,2,0,0,0 
Εμπεσού                       ,0,1,0,0,0 
Μαλεσιάδας                    ,0,3,0,0,0 
Μπαμπαλιού                    ,1,0,0,0,0 
Πατιοπούλου                   ,3,5,0,0,0 
Περδικακίου                   ,0,0,0,0,0 
Παλαίρου                      ,19,2,1,0,1 
Περατιάς                      ,4,1,0,0,0 
Πλαγιάς                       ,3,1,0,0,0 
Πογωνίας                      ,1,1,0,0,0 
Γαβαλούς                      ,10,3,0,0,0 
Κάτω Μακρινούς                ,1,0,0,0,0 
Μακρινούς                     ,1,0,0,0,0 
Κατούνας                      ,4,1,1,0,0 
Μενιδίου                      ,8,2,0,0,0 
Φλωριάδος                     ,1,0,0,0,0 
Ναυπάκτου                     ,47,6,2,0,8 
Αφροξυλιάς                    ,3,1,0,0,0 
Δάφνης                        ,10,0,2,0,0 
Λυγιά                         ,8,1,2,0,0 
Μαμουλάδας                    ,4,0,0,0,0 
Νεοκάστρου                    ,6,0,0,0,0 
Ξηροπηγάδου                   ,6,0,0,0,0 

Πιτσιναιίκων                  ,1,0,0,0,0 
Σκάλας                        ,1,0,0,0,0 
Ελαιοφύτου                    ,1,2,0,0,0 
Μεγάλης Χώρας                 ,1,2,0,0,0 
Νεάπολης                      ,15,4,0,0,0 
Σπολαίτης                     ,0,1,0,0,0 
Νεοχωρίου Μεσολογγίου         ,24,6,1,0,0 
Γουριάς                       ,2,0,1,0,0 
Κατοχής                       ,5,0,0,0,0 
Λεσινίου                      ,2,0,0,0,0 
Πενταλόφου                    ,0,0,0,0,0 
Παραβόλας                     ,8,1,1,0,0 
Καλλιθέας                     ,0,0,0,0,0 
Νερομάννας                    ,0,0,0,0,0 
Παντανάσσης                   ,0,0,0,0,0 
Αγίου Βλασίου                 ,4,0,0,0,0 
Πεντακόρφου                   ,1,0,0,0,0 
Σαργιάδας                     ,1,0,0,0,0 
Πλατάνου                      ,3,1,1,0,0 
Αγίου Δημητρίου               ,1,0,0,0,0 
Καστανέας                     ,1,0,0,0,0 
Κλεπάς                        ,1,0,0,0,0 
Περίστης                      ,1,1,0,0,0 
Φαμίλας                       ,1,0,0,0,0 
Ελευθεριανής                  ,0,1,0,0,0 
Σίμου                         ,3,0,0,0,0 
Στρανώμης                     ,1,0,0,0,0 
Στράτου                       ,4,3,0,0,0 
Καστρακίου                    ,0,1,0,0,0 
Κυψέλης (Σφήνας)              ,2,1,0,0,0 
Λεπενούς                      ,5,1,1,0,0 
Οχθίων                        ,1,0,0,0,0 
Φυτειών                       ,1,6,0,0,0 
Παππαδάτου                    ,1,0,0,0,0 
Τρικόρφου                     ,5,0,0,0,0 
’νω Βασιλικής                 ,2,0,0,0,0 
Βασιλικής                     ,2,1,0,0,0 
Γαβρολίμνης                   ,4,4,1,0,0 
Γαλατά                        ,2,0,0,0,0 
Περιθωρίου                    ,1,0,0,0,0 
ΝΟΜΟΣ ΑΧΑΪΑΣ                    ,1503,477,213,6,194 
Πατρέων                       ,650,227,114,4,159 
Ελικίστρας                    ,3,2,0,0,0 
Αιγείρας                      ,21,5,3,0,0 

Χρυσανθίου                    ,1,0,0,0,0 
Αιγίου                        ,115,46,22,1,3 
Κουλούρας                     ,0,1,0,0,0 
Κούμαρη                       ,0,1,0,0,0 
Σελινούντος                   ,1,0,0,0,0 
Τέμενης                       ,2,0,0,0,0 
Ακράτας                       ,39,15,10,0,1 
Αγίας Βαρβάρας                ,0,0,1,0,0 
Αμπέλου                       ,0,2,0,0,0 
Ζαρούχλης                     ,2,0,0,0,0 
Μεσορρουγίου                  ,1,0,0,0,0 
Συλιβαινιώτικων               ,2,0,0,0,0 
Ψωφίδος                       ,1,0,0,0,0 
Αροανίας                      ,1,0,0,0,0 
Λεχουρίου                     ,0,0,0,0,0 
Λιβαρτζίου                    ,1,0,0,0,0 
Σειρών                        ,1,0,0,0,0 
Βραχναιίκων                   ,16,5,1,0,2 
Διακοπτού                     ,85,18,5,0,1 
’νω Διακοπτού                 ,3,0,0,0,0 
Ελίκης                        ,1,0,1,0,0 
Μαμουσιάς                     ,0,0,1,0,0 
Νικολαιίκων                   ,0,0,0,0,0 
Ριζομύλου                     ,1,1,0,0,0 
Ροδιάς                        ,2,0,0,0,0 
Κάτω Αχαΐας                   ,61,8,0,0,5 
Αγιοβλασιτίκων                ,1,0,0,0,0 
Αλισσού                       ,4,3,0,0,0 
’νω Αχαΐας                    ,0,1,0,0,0 
Κάτω Αλισσού                  ,0,1,0,0,0 
Νιφοραιίκων                   ,4,0,0,0,0 
Πετροχωρίου                   ,2,0,0,0,0 
Καμάρων                       ,21,7,1,0,1 
Ζήριας                        ,1,0,0,0,0 
Νέου Ερινεού                  ,5,3,0,0,0 
Καλαβρύτων                    ,59,24,12,0,1 
’νω Βλασίας                   ,1,0,0,0,0 
’νω Λουσών                    ,0,0,0,0,0 
Κανδάλου                      ,0,0,0,0,0 
Κάτω Ζαχλωρούς                ,1,0,0,0,0 
Κερπινής                      ,0,0,0,0,0 
Κερτέζης                      ,0,1,1,0,0 
Κούτελης                      ,0,0,0,0,0 
Σκεπαστού                     ,2,1,0,0,0 
Μετοχίου                      ,16,6,2,0,3 
Αράξου                        ,2,2,0,0,0 

Βελιτσών                      ,0,1,0,0,0 
Καγκαδίου                     ,2,0,0,0,0 
Λακκοπέτρας                   ,2,1,0,0,0 
Κλειτορίας                    ,5,7,0,0,0 
Λευκασίου                     ,0,0,0,0,0 
Λυκουρίας                     ,1,1,0,0,0 
Φιλίων                        ,0,1,0,0,0 
Οβριάς                        ,72,13,6,0,4 
Κρήνης Πατρών                 ,1,0,0,0,0 
Σαραβαλίου                    ,0,0,0,0,0 
Σαγαιίκων                     ,15,3,1,0,1 
Καραιίκων                     ,2,0,0,0,0 
Λιμνοχωρίου                   ,8,2,0,0,0 
Μύρτου                        ,0,0,0,0,0 
Δάφνης                        ,4,1,2,0,0 
Πάου                          ,0,0,1,0,0 
Παραλίας                      ,34,10,2,0,1 
Μιντιλογλίου                  ,1,0,0,0,0 
Ρίου (Αγίου Γεωργίου Ρίου)    ,122,20,4,0,6 
Αγίου Βασιλείου               ,1,0,0,0,0 
Ακταίου (Βερναρδαιίκων)       ,0,1,0,0,0 
’νω Καστριτσίου               ,1,0,0,0,0 
Αραχοβιτίκων                  ,2,0,0,0,0 
Κάτω Καστριτσίου              ,0,0,0,0,0 
Ψαθοπύργου                    ,1,1,0,0,0 
Ροδοδάφνης                    ,37,17,5,0,3 
Αγίου Κωνσταντίνου            ,0,0,0,0,0 
Νεραντζιών                    ,0,0,1,0,0 
Σελιανιτίκων                  ,2,0,0,0,0 
Σταυροδρομίου                 ,13,3,8,0,0 
Αγίας Βαρβάρας                ,0,1,0,0,0 
Αλεποχωρίου                   ,0,0,0,0,1 
Κάλφα                         ,1,0,0,0,0 
Σκιαδά                        ,0,1,0,0,0 
Σκούρα                        ,0,0,1,0,0 
Χαλανδρίτσης                  ,25,5,5,0,1 
Ισώματος                      ,1,0,0,0,0 
Φαρών                         ,2,1,0,0,1 
Λουσικών                      ,12,4,0,0,0 
’νω Σουδεναιίκων              ,1,0,0,0,0 
Φωσταίνης                     ,0,1,0,0,0 
Καλεντζίου                    ,2,1,1,1,0 
Λεοντίου                      ,4,1,2,0,0 
ΝΟΜΟΣ ΗΛΕΙΑΣ                    ,586,215,61,0,12 

Πύργου                        ,87,22,11,0,3 
Αγίου Γεωργίου                ,2,1,0,0,0 
Αγίου Ηλία Πύργου (Αγίου Ηλία Λετρίνων)  ,1,0,0,0,0 

Αγίου Ιωάννου                 ,3,0,0,0,0 
Αμπελώνος                     ,1,0,0,0,0 
Βαρβασαίνης                   ,2,0,0,0,0 
Ελαιώνος                      ,1,0,0,0,0 
Κατακόλου                     ,0,0,0,0,1 
Κολιρίου                      ,3,0,0,0,0 
Λασταιίκων                    ,5,0,0,0,0 
Λεβεντοχωρίου                 ,1,1,0,0,0 
Μυρτέας                       ,1,0,0,0,0 
Σαλμώνης                      ,0,0,1,0,0 
Σκαφιδιάς                     ,2,1,0,0,0 
Σκουροχωρίου                  ,2,1,0,0,0 
Καλλιθέας                     ,3,1,0,0,0 
Αλιφείρας                     ,1,3,2,0,0 
Μυρωνίων                      ,1,0,0,0,0 
Αμαλιάδος                     ,70,15,1,0,0 
Αγίου Δημητρίου               ,0,0,0,0,0 
Αμπελοκάμπου                  ,5,1,0,0,0 
Αρχαίας Ήλιδας (τΔΔΉλιδος) ,0,1,1,0,0 
Αυγείου                       ,2,1,0,0,0 
Γερακίου                      ,2,0,0,0,0 
Δάφνης                        ,5,0,0,0,0 
Δουναίικων                    ,3,1,0,0,0 
Καρδαμά                       ,4,2,0,0,0 
Κέντρου                       ,1,1,0,0,0 
Κεραμιδιάς                    ,2,1,0,0,0 
Κρυονέρου                     ,3,0,0,0,0 
Περιστερίου                   ,1,0,0,0,0 
Ροβιάτας                      ,2,0,0,0,0 
Σαβαλίων                      ,5,0,0,0,0 
Σωστίου                       ,0,1,0,0,0 
Χαβαρίου                      ,4,0,0,0,0 
Ανδραβίδας                    ,3,4,1,0,0 
Σταφιδοκάμπου                 ,0,0,0,0,0 
Ανδριτσαίνης                  ,7,2,3,0,1 
Δαφνούλας                     ,1,0,1,0,0 
Κουφοπούλου                   ,1,0,1,0,0 
Λινισταίνης                   ,1,0,0,0,0 
Σέκουλα                       ,0,0,0,0,0 
Αρχαίας Ολυμπίας              ,19,12,6,0,1 
Αρχαίας Πίσας (τΔΔΜιράκας) ,1,2,0,0,0 
Βασιλακίου                    ,0,1,0,0,0 

Ηρακλείας                     ,1,0,0,0,0 
Καυκωνίας                     ,1,0,0,0,0 
Κλαδέου                       ,1,0,0,0,0 
Κοσκινά                       ,1,0,0,0,0 
Λιναριάς                      ,1,0,0,0,0 
Μουριάς                       ,0,1,0,0,0 
Ξηροκάμπου                    ,1,1,0,0,0 
Πελοπίου                      ,1,0,1,0,0 
Πλατάνου                      ,5,1,0,0,0 
Σμίλας                        ,0,0,0,0,0 
Στρεφίου                      ,1,0,1,0,0 
Φλόκα                         ,1,0,0,0,0 
Χελιδονίου                    ,1,1,0,0,0 
Βαρθολομιού                   ,19,4,0,0,0 
Δήμητρας                      ,0,0,0,0,0 
Καλυβίων Μυρτουντίων          ,0,0,0,0,0 
Λυγιάς                        ,3,1,0,0,0 
Μάχου                         ,0,1,0,0,0 
Βάρδας                        ,29,5,0,0,1 
Αετορράχης                    ,0,1,0,0,0 
Καπελέτου                     ,2,0,0,0,0 
Κουρτεσίου                    ,1,0,0,0,0 
Μανολάδος                     ,6,1,0,0,0 
Νεαπόλεως                     ,2,0,0,0,0 
Νέας Μανολάδος                ,0,1,0,0,0 
Νησίου                        ,0,0,0,0,0 
Επιταλίου                     ,4,1,2,0,0 
Αλφειούσης                    ,1,1,0,0,0 
Ανεμοχωρίου                   ,0,1,0,0,0 
Γαστούνης                     ,17,4,0,0,2 
Καβάσιλα                      ,3,0,0,0,0 
Καρδιακαυτίου                 ,0,0,0,0,0 
Κοροίβου                      ,0,0,0,0,0 
Παλαιοχωρίου                  ,0,1,0,0,0 
Ρουπακίου                     ,1,0,0,0,0 
Ζαχάρως                       ,38,26,4,0,1 
Αγίο���� Ηλία                    ,1,0,0,0,0 
Ανηλίου                       ,1,0,0,0,0 
Αρήνης                        ,1,3,0,0,0 
Γιαννιτσοχωρίου               ,4,3,0,0,0 
Κακοβάτου                     ,4,3,1,0,0 
Καλιδόνης                     ,1,1,1,0,0 
Λεπρέου                       ,4,1,0,0,0 
Μακίστου                      ,1,0,0,0,0 
Νεοχωρίου                     ,5,0,0,0,0 
Ξηροχωρίου                    ,1,2,0,0,0 

Πρασιδακίου                   ,1,0,0,0,0 
Σμέρνας                       ,0,1,0,0,0 
Σχίνων                        ,5,3,0,0,0 
Ταξιαρχών                     ,2,2,3,0,0 
Χρυσοχωρίου (Τρυπών)          ,0,0,1,0,0 
Βουνάργου                     ,2,2,0,0,0 
Αλποχωρίου                    ,2,0,0,0,0 
Βροχίτσης                     ,1,1,0,0,0 
Κατσαρού                      ,2,0,0,0,0 
Ξυλοκέρας                     ,1,0,0,0,0 
Πρασίνου                      ,2,0,0,0,0 
Κυλλήνης                      ,8,1,2,0,0 
Κάστρου                       ,6,1,0,0,0 
Νεοχωρίου Μυρτουντίων         ,1,1,0,0,0 
Λαμπείας                      ,3,1,3,0,0 
Αντρωνίου                     ,6,0,1,0,0 
Κακοταρίου                    ,1,0,0,0,0 
Λεχαινών                      ,15,5,1,0,0 
Μπόρσιον ,0,1,0,0,0 

Μυρσίνης                      ,3,0,0,0,0 
Σιμοπούλου                    ,7,2,0,0,0 
Αγνάντων                      ,0,2,0,0,0 
Αγραπιδοχωρίου                ,0,1,0,0,0 
Αυγής                         ,2,0,0,0,0 
Βελανιδίου                    ,1,0,0,0,0 
Εφύρας                        ,0,1,0,0,0 
Λαγανά                        ,0,1,0,0,0 
Λάτα                          ,0,1,0,0,0 
Οινόης                        ,1,0,0,0,0 
Κρεστένων                     ,11,4,2,0,0 
Βρίνας                        ,1,2,0,0,0 
Γραίκα                        ,2,0,0,0,0 
Γρύλλου                       ,5,0,0,0,0 
Καλλικώμου                    ,5,4,0,0,1 
Κάτω Σαμικού                  ,1,3,0,0,0 
Μακρισίων                     ,9,4,1,0,0 
Πλατιάνας                     ,0,0,0,0,0 
Πλουτοχωρίου                  ,1,0,0,0,0 
Ραχών                         ,1,2,0,0,0 
Σαμικού                       ,2,2,0,0,0 
Σκιλλουντίας                  ,4,4,1,0,0 
Τρυπητής                      ,4,1,0,0,0 
Φρίξης                        ,1,0,0,0,0 
Τραγανού                      ,10,3,0,0,1 
Αγίας Μαύρας                  ,1,0,0,0,0 

Νέας Φιγαλείας                ,2,6,3,0,0 
Κρυονερίου Ολυμπίας           ,1,0,0,0,0 
Περιβολίων                    ,1,0,0,0,0 
Πετραλώνων                    ,0,1,2,0,0 
Φιγαλείας                     ,1,1,0,0,0 
Λάλα                          ,2,2,1,0,0 
Κούμανη                       ,0,1,0,0,0 
Μηλεών                        ,0,1,0,0,0 
Νεμούτας                      ,1,0,0,0,0 
Περσαίνης                     ,1,0,0,0,0 
Φολόης                        ,8,0,2,0,0 
Καράτουλα                     ,6,0,0,0,0 
Γουμέρου                      ,1,1,0,0,0 
Καρυάς                        ,0,2,0,0,0 
Κουτσοχέρας                   ,0,1,0,0,0 
Λανθίου                       ,2,0,0,0,0 
Λατζοΐου                      ,3,0,0,0,0 
Μαγούλας                      ,0,0,0,0,0 
Μουζακίου                     ,0,1,0,0,0 
Πεύκης                        ,0,1,0,0,0 
Χαριάς                        ,1,0,0,0,0 
Χειμαδιού                     ,1,0,0,0,0 
Ωλένης                        ,3,1,0,0,0 
ΣΤΕΡΕΑ ΕΛΛΑΔΑ                    ,3158,946,269,8,201 
ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ                  ,454,220,24,4,24 
Λεβαδέων                      ,77,49,8,2,10 
Λαφυστίου                     ,1,0,0,0,0 
Ρωμαιίκου                     ,0,0,0,0,0 
Ακραιφνίου                    ,5,4,0,0,0 
Αλιάρτου                      ,17,6,0,0,0 
Ευαγγελιστρίας                ,1,0,0,0,0 
Σωληναρίου                    ,1,1,0,0,0 
Αραχόβης                      ,50,16,3,1,5 
Βαγίων                        ,8,5,0,0,1 
Δαυλείας                      ,3,5,0,0,0 
Μαυρονερίου                   ,0,0,0,0,0 
Πύλης                         ,7,2,0,0,0 
Στεφάνης                      ,3,1,0,0,0 
Διστόμου                      ,6,9,0,0,0 
Στειρίου                      ,1,1,0,0,0 
Θεσπιών                       ,13,4,0,0,0 

’σκρης                        ,0,1,0,0,0 
Θηβαίων                       ,88,32,4,0,2 
Ελεώνος                       ,3,1,0,0,0 
Μουρικίου                     ,1,0,0,0,0 
Δομβραίνης                    ,17,5,1,0,0 
Ελλοπίας                      ,1,0,0,0,0 
Θίσβης                        ,3,1,0,0,0 
Ξηρονομής                     ,16,9,2,0,2 
Προδρόμου                     ,3,3,0,0,0 
Αγίου Γεωργίου                ,3,2,1,0,0 
Αγίας Τριάδος                 ,0,0,0,0,0 
Αλαλκομενών                   ,0,0,0,0,0 
Κορωνείας                     ,0,2,0,0,0 
Οινοφύτων                     ,37,17,2,0,1 
Αγίου Θωμά                    ,0,1,0,0,0 
Κλειδίου                      ,1,0,0,0,0 
Ορχομενού                     ,18,15,1,0,0 
Αγίου Δημητρίου               ,0,1,0,0,0 
Διονύσου                      ,0,1,0,0,0 
Παύλου                        ,0,1,0,0,0 
Καπαρελλίου                   ,14,5,0,0,1 
Λουτουφίου                    ,1,0,0,0,0 
Μελισσοχωρίου                 ,1,0,0,0,0 
Πλαταιών                      ,2,0,0,0,0 
Σχηματαρίου                   ,27,10,1,1,2 
’ρματος                       ,8,1,0,0,0 
Ασωπίας                       ,1,0,0,0,0 
Τανάγρας                      ,1,0,0,0,0 
Χαιρωνείας                    ,0,1,0,0,0 
Ανθοχωρίου                    ,0,0,1,0,0 
Αντικύρας                     ,8,1,0,0,0 
Κυριακίου                     ,7,7,0,0,0 
ΝΟΜΟΣ ΕΥΒΟΙΑΣ                   ,1578,393,152,0,125 
Χαλκιδέων                     ,258,66,15,0,73 
Λουτρών Αιδηψού               ,46,11,3,0,2 
Αγίου                         ,1,0,0,0,0 
Αμαρύνθου                     ,38,3,2,0,1 
’νω Βάθειας                   ,1,1,1,0,0 
Γυμνού                        ,8,0,0,0,0 
Καλλιθέας                     ,1,1,0,0,0 
Σέτας                         ,2,0,0,0,0 
Δροσιάς                       ,152,13,1,0,2 
Λουκισίων (τΑνθηδώνας)       ,12,3,0,0,0 
Αρτεμισίου                    ,29,7,1,0,1 

Αγριοβοτάνου                  ,0,1,0,0,0 
Ασμηνίου                      ,4,0,1,0,0 
Βασιλικών                     ,0,0,0,0,0 
Γερακιούς                     ,1,0,0,0,0 
Βαθέος                        ,29,8,0,0,1 
Καλοχωρίου Παντειχίου (Καλού Χωρίου Παντειχίου) ,6,1,0,0,0 

Παραλίας Αυλίδος              ,8,3,0,0,1 
Φάρου                         ,8,0,1,0,0 
Αυλωναρίου                    ,35,11,9,0,0 
Αγίου Γεωργίου                ,0,1,0,0,0 
Αχλαδερής                     ,3,0,1,0,0 
Νεοχωρίου                     ,2,0,0,0,0 
Οκτωνιάς                      ,0,1,0,0,0 
Πυργίου                       ,1,1,0,0,0 
Ωρολογίου                     ,0,0,1,0,0 
Στενής Δίρφυος                ,9,3,1,0,0 
Αμφιθέας                      ,1,0,1,0,0 
Βούνων                        ,2,0,0,0,0 
Θεολόγου                      ,4,2,1,0,0 
Καθενών                       ,0,1,0,0,0 
Καμπιών                       ,1,0,1,0,0 
Λούτσας                       ,1,0,1,0,0 
Μίστρου                       ,1,0,0,0,0 
Παλιούρα                      ,3,1,0,0,0 
Πισσώνος                      ,3,1,0,0,0 
Πούρνου                       ,1,1,0,0,0 
Στροπώνων                     ,7,0,0,0,0 
Κριεζών                       ,0,1,0,0,0 
Αργυρού                       ,1,2,0,0,0 
Βέλους                        ,1,0,0,0,0 
Δύστου                        ,43,7,7,0,1 
Ζαράκων                       ,1,0,0,0,0 
Κοσκίνων                      ,0,2,0,0,0 
Λεπούρων                      ,0,0,0,0,0 
Πετριών                       ,6,3,0,0,0 
Λίμνης                        ,29,12,3,0,3 
Ροβιών                        ,1,0,0,0,0 
Ερετρίας                      ,73,8,2,0,2 
Ιστιαίας                      ,66,18,7,0,1 
Αβγαριάς                      ,1,0,0,0,0 
Καμαρίων                      ,1,0,0,0,0 
Μηλεών                        ,1,0,0,0,0 
Καρύστου                      ,71,23,11,0,6 
Μαντουδίου                    ,26,6,3,0,1 
Βλαχιάς                       ,11,1,0,0,1 

Κηρίνθου                      ,0,0,0,0,0 
Μετοχίου Κηρέως               ,1,0,0,0,0 
Πηλίου                        ,1,0,0,0,0 
Στροφυλιάς                    ,1,0,0,0,0 
Φαράκλας                      ,1,1,0,0,0 
Κονιστρών                     ,22,13,6,0,1 
Βρύσης                        ,0,0,1,0,0 
Μονοδρύου                     ,0,2,1,0,0 
Κύμης                         ,78,24,19,0,2 
’νω Ποταμιάς                  ,1,0,0,0,0 
Ενορίας                       ,1,0,0,0,0 
Βασιλικού                     ,52,13,2,0,0 
Αγίου Νικολάου                ,20,6,1,0,0 
Αφρατίου                      ,7,4,1,0,0 
Μύτικα                        ,23,2,1,0,0 
Νέας Λαμψάκου                 ,10,4,1,0,0 
Φύλλων                        ,9,2,0,0,0 
Μαρμαρίου                     ,42,5,4,0,0 
Ψαχνών                        ,39,14,3,0,0 
Αγίας Σοφίας                  ,2,0,0,0,0 
’τταλης                       ,0,1,0,0,0 
Καμαρίτσης                    ,3,0,0,0,0 
Καστέλλας                     ,4,3,0,0,0 
Κοντοδεσποτίου                ,2,0,0,0,0 
Μακρυκάπας                    ,1,0,3,0,0 
Νεροτριβιάς                   ,3,1,1,0,0 
Πολιτικών                     ,15,2,1,0,0 
Σταυρού                       ,0,0,0,0,0 
Τριάδος                       ,3,0,0,0,0 
Νέας Αρτάκης                  ,28,9,0,0,12 
Αγίας ’ννης                   ,32,8,1,0,1 
Αχλαδίου                      ,1,0,0,0,0 
Σκύρου                        ,22,11,6,0,6 
Στύρων                        ,57,16,7,0,2 
Νέων Στύρων                   ,1,0,0,0,0 
Αλιβερίου                     ,44,14,13,0,2 
Αγίου Ιωάννου                 ,8,1,1,0,0 
Αγίου Λουκά                   ,0,3,1,0,0 
Γαβαλά                        ,1,1,3,0,0 
Πρασίνου                      ,0,1,0,0,0 
Ωρεών                         ,22,8,1,0,3 
Κομίτου                       ,0,0,0,0,0 
Λιχάδος                       ,11,0,0,0,0 
ΝΟΜΟΣ ΕΥΡΥΤΑΝΙΑΣ                ,69,37,16,0,6 

Καρπενησίου                   ,41,16,10,0,5 
Αγίου Νικολάου                ,3,2,0,0,0 
Βουτύρου                      ,1,0,1,0,0 
Κορυσχάδων                    ,0,0,2,0,0 
Μυρίκης                       ,1,1,0,0,0 
Στενώματος                    ,1,0,0,0,0 
Φιδακίων                      ,1,0,0,0,0 
Γρανίτσης                     ,0,0,0,0,1 
Βαλαώρας (Βελαόρας)           ,1,1,0,0,0 
Λημερίου                      ,1,0,0,0,0 
Λιθοχωρίου                    ,0,1,0,0,0 
Κερασοχωρίου                  ,1,1,1,0,0 
Βίνιανης                      ,0,0,0,0,0 
Κρικέλλου                     ,1,2,0,0,0 
’μπλιανης (Σταυροπηγίου)      ,1,2,0,0,0 
Δομνίστης                     ,3,1,0,0,0 
Αγίας Τριάδος                 ,0,0,0,0,0 
Δομιανών                      ,1,0,1,0,0 
Μεγάλου Χωρίου                ,2,1,0,0,0 
Ανιάδας                       ,1,0,0,0,0 
Καρίτσης Καρπενησίου          ,0,1,0,0,0 
Κλαυσίου                      ,1,0,0,0,0 
Μικρού Χωρίου                 ,0,3,0,0,0 
Μουζίλου                      ,1,0,0,0,0 
Νοστίμου                      ,1,2,0,0,0 
Συγκρέλλου                    ,1,0,0,0,0 
Προυσού                       ,0,1,0,0,0 
Ασπροπύργου                   ,1,0,0,0,0 
Φουρνάς                       ,1,0,1,0,0 
Δυτικής Φραγκίστας            ,2,2,0,0,0 
Παλαιοχωρίου                  ,1,0,0,0,0 
ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ                 ,730,219,36,4,6 
Λαμιέων                       ,256,83,14,1,1 
Αγίας Παρασκευής (Λιμογαρδίου),0,0,0,0,0 
Ανθήλης                       ,1,2,0,0,0 
Θερμοπυλών                    ,3,0,0,0,0 
Κόμματος                      ,0,1,0,0,0 
Κωσταλέξη                     ,1,0,0,0,0 
Λυγαριάς                      ,2,1,0,0,0 
Μεγάλης Βρύσης                ,3,2,0,0,0 
Ροδίτσης                      ,4,0,0,0,0 
Σταυρού                       ,1,0,0,0,0 
Φραντζή                       ,1,0,0,0,0 
Αγίου Γεωργίου Φθιώτιδος      ,5,3,0,0,0 

Παλαιοκάστρου                 ,0,0,1,0,0 
Πτελέας                       ,3,0,0,0,0 
Αγίου Κωνσταντίνου            ,19,5,0,0,1 
Αμφικλείας                    ,14,4,0,1,0 
Δρυμαίας                      ,0,1,0,0,0 
Μπράλου                       ,1,1,0,0,0 
Παλαιοχωρίου Δωριέων          ,2,0,0,0,0 
Αταλάντης                     ,74,17,2,0,1 
Εξάρχου                       ,1,0,0,0,0 
Κυπαρισσίου                   ,0,0,0,0,1 
Μεγαπλατάνου                  ,1,0,0,0,0 
Τραγάνας                      ,1,1,0,0,0 
Μοσχοχωρίου                   ,11,2,1,0,0 
Βαρδάτων                      ,1,0,0,0,0 
Ηρακλείας                     ,0,0,0,0,0 
Νέου Κρικέλλου                ,1,0,0,0,0 
Οίτης                         ,3,1,0,0,0 
Λιβανατών                     ,25,5,0,0,0 
Αρκίτσας                      ,3,0,0,0,0 
Δομοκού                       ,4,4,0,0,0 
Γερακλίου                     ,1,0,0,0,0 
Καρυών                        ,1,0,0,0,0 
Ελάτειας                      ,13,5,0,1,0 
Λευκοχωρίου                   ,1,0,0,0,0 
Ραχών                         ,30,5,1,0,0 
Αχινού                        ,2,0,0,0,0 
Αχλαδίου                      ,2,0,0,0,0 
Καραβομύλου                   ,4,1,0,0,0 
Σπαρτιάς                      ,0,0,0,0,0 
Νέου Μοναστηρίου              ,5,2,1,0,0 
Γαβρακίων                     ,0,0,0,0,0 
Εκκάρας                       ,1,0,0,0,0 
